date,home,away,home_score,away_score,neutral
2026-01-03,Toulouse,Bayonne,43,20,false
2026-01-03,Castres,Montpellier,23,25,false
2026-01-10,Bordeaux,Pau,52,30,false
2026-01-10,La Rochelle,Toulouse,45,35,false
2026-01-10,Clermont,Racing 92,29,21,false
2026-01-10,Lyon,Vannes,30,28,false
2026-01-10,Castres,Stade Francais,34,0,false
2026-01-10,Toulon,Montpellier,35,1,false
2026-01-10,Perpignan,Bayonne,31,8,false
2026-01-17,Vannes,La Rochelle,14,26,false
2026-01-17,Castres,Bordeaux,24,14,false
2026-01-17,Pau,Stade Francais,46,23,false
2026-01-17,Toulouse,Toulon,26,21,false
2026-01-17,Bayonne,Montpellier,11,17,false
2026-01-17,Perpignan,Clermont,36,8,false
2026-01-17,Racing 92,Lyon,27,24,false
2026-01-24,Perpignan,Lyon,45,28,false
2026-01-24,Toulouse,Toulon,33,30,false
2026-01-24,Castres,Vannes,11,18,false
2026-01-24,Montpellier,Racing 92,12,55,false
2026-01-24,Bordeaux,Bayonne,45,18,false
2026-01-24,Pau,Stade Francais,29,0,false
2026-01-24,La Rochelle,Clermont,41,41,false
2026-01-31,Pau,Bordeaux,26,42,false
2026-01-31,Perpignan,Racing 92,12,38,false
2026-01-31,Stade Francais,Vannes,21,0,false
2026-01-31,Clermont,Bayonne,32,8,false
2026-01-31,Lyon,Montpellier,36,5,false
2026-01-31,Toulouse,La Rochelle,46,17,false
2026-01-31,Castres,Toulon,31,21,false
2026-02-07,La Rochelle,Lyon,30,24,false
2026-02-07,Bordeaux,Racing 92,23,12,false
2026-02-07,Montpellier,Stade Francais,19,23,false
2026-02-07,Vannes,Toulouse,23,25,false
2026-02-07,Bayonne,Pau,35,32,false
2026-02-07,Castres,Clermont,30,37,false
2026-02-07,Toulon,Perpignan,31,18,false
2026-02-14,Stade Francais,La Rochelle,5,38,false
2026-02-14,Lyon,Bordeaux,41,41,false
2026-02-14,Vannes,Pau,34,8,false
2026-02-14,Racing 92,Toulon,22,21,false
2026-02-14,Bayonne,Montpellier,18,33,false
2026-02-14,Castres,Clermont,30,25,false
2026-02-14,Perpignan,Toulouse,29,21,false
2026-02-21,Bayonne,La Rochelle,17,32,false
2026-02-21,Perpignan,Clermont,11,21,false
2026-02-21,Montpellier,Racing 92,34,41,false
2026-02-21,Bordeaux,Pau,48,19,false
2026-02-21,Lyon,Toulon,26,39,false
2026-02-21,Vannes,Stade Francais,23,23,false
2026-02-21,Castres,Toulouse,40,27,false
2026-02-28,La Rochelle,Toulon,23,27,false
2026-02-28,Pau,Clermont,17,11,false
2026-02-28,Stade Francais,Vannes,12,11,false
2026-02-28,Racing 92,Montpellier,33,6,false
2026-02-28,Toulouse,Castres,39,38,false
2026-02-28,Lyon,Bayonne,30,33,false
2026-02-28,Bordeaux,Perpignan,40,6,false
